,top_win_rate,top_lane_kill_rate,top_kda,top_kill_participate,top_damage,jg_win_rate,jg_kda,jg_kill_participate,jg_damage,mid_win_rate,mid_lane_kill_rate,mid_kda,mid_kill_participate,mid_damage,adc_win_rate,adc_lane_kill_rate,adc_kda,adc_kill_participate,adc_damage,sup_win_rate,sup_lane_kill_rate,sup_kda,sup_kill_participate,result
2310,0.5138,0.47590000000000005,0.5382585751978892,0.5206812652068127,0.5098990931153404,0.5017,0.4656,0.5089201877934273,0.623415260826938,0.4758,0.4496,0.4712153518123668,0.4989733059548255,0.45794392523364486,0.4865,0.5329999999999999,0.4923954372623574,0.5,0.4607791837123014,0.4631,0.5542,0.4701195219123506,0.49158249158249157,1.0
2311,0.5103,0.4725,0.5661764705882353,0.5171503957783641,0.47807076012477673,0.5063000000000001,0.5374732334047109,0.5159629248197735,0.5477862493311931,0.4991,0.6701,0.525963149078727,0.5111326234269119,0.5476337903582486,0.5013000000000001,0.4549,0.4753086419753087,0.48951048951048953,0.5390955198647507,0.5048,0.4997,0.569672131147541,0.553409090909091,1.0
2312,0.5004,0.517,0.5406824146981627,0.5116279069767442,0.48090207232832183,0.5446,0.5220030349013657,0.471304347826087,0.4924266259157715,0.5094,0.5286,0.48096192384769537,0.487778958554729,0.49775001196802143,0.47590000000000005,0.4338,0.5334773218142548,0.5154320987654321,0.5328744029221691,0.49729999999999996,0.5405,0.5352380952380953,0.5383734249713631,1.0
2313,0.4205,0.5008,0.4085106382978724,0.49228944246737844,0.5752978257385544,0.4292,0.37315875613747956,0.473633748801534,0.5532242769084874,0.5492,0.5352,0.5230263157894737,0.5075046904315197,0.5157310479696308,0.5135000000000001,0.467,0.5076045627376425,0.5,0.5392208162876986,0.5398,0.4631,0.57196261682243,0.4792122538293216,0.0
2314,0.5118,0.4768,0.5474613686534217,0.5183312262958281,0.47515745276417076,0.5239,0.49418604651162784,0.49173955296404276,0.577630534561894,0.5381,0.662,0.4865900383141762,0.4896907216494845,0.5406832606108687,0.5241,0.5661999999999999,0.4665226781857451,0.4845679012345679,0.46712559707783086,0.4933,0.509,0.5,0.5353075170842825,1.0
2315,0.44,0.4083,0.48780487804878053,0.5075757575757576,0.46284753653174704,0.466,0.39575971731448767,0.49904942965779464,0.63404869251578,0.5049,0.2587,0.4283088235294118,0.4840370751802266,0.49600624311421226,0.5441,0.5448,0.5539568345323741,0.5079365079365079,0.4323045314988804,0.488,0.5202,0.5,0.5312131919905771,1.0
2316,0.5138,0.3712,0.5035128805620609,0.5197044334975369,0.4954023613907177,0.5282,0.5668896321070234,0.5042573320719016,0.3985299319995283,0.444,0.3654,0.47173489278752434,0.4897959183673469,0.4909717122090815,0.5435,0.47859999999999997,0.5093945720250522,0.5202702702702703,0.58452842528145,0.5536,0.4646,0.623352165725047,0.5176738882554163,0.0
2317,0.5011,0.5153,0.4482758620689655,0.4748387096774193,0.5141750967903085,0.4718,0.4331103678929765,0.49574266792809846,0.6014700680004716,0.5009,0.5282,0.4156378600823046,0.4858044164037855,0.4832148742037825,0.4915,0.46299999999999997,0.48747591522157996,0.4928571428571428,0.4905427948158604,0.5244,0.49829999999999997,0.4747292418772563,0.5177610333692142,1.0
2318,0.5161,0.3188,0.4867469879518072,0.47117794486215536,0.49742765273311895,0.5708,0.6268412438625205,0.5263662511984659,0.4467757230915126,0.5221,0.42810000000000004,0.537878787878788,0.5118025751072961,0.44169031324764924,0.5135000000000001,0.467,0.5076045627376425,0.5,0.5392208162876986,0.4991,0.5525,0.4438095238095238,0.4525547445255474,0.0
2319,0.4925,0.3574,0.5026041666666666,0.5081967213114753,0.5453850815482307,0.5197,0.5096153846153847,0.49672591206735267,0.5238917222440173,0.49770000000000003,0.4204,0.5338645418326694,0.4931362196409715,0.4544794249505347,0.5085000000000001,0.5144,0.46376811594202905,0.4797570850202429,0.4464585519412382,0.5181,0.5222,0.48088531187122735,0.474972191323693,1.0
2320,0.4487,0.48560000000000003,0.4811083123425693,0.506578947368421,0.5095841934532587,0.5102,0.46745562130177515,0.4817658349328215,0.5269303455723542,0.4708,0.3834,0.40842105263157896,0.4768568353067814,0.5355773552976018,0.5224,0.557,0.572289156626506,0.5283213182286303,0.5032795556731023,0.5214,0.5294,0.4979838709677419,0.48494983277591974,1.0
2321,0.5352,0.5671,0.5572139303482587,0.5348837209302325,0.5264854218269719,0.5064,0.4746450304259635,0.5260223048327138,0.606889748448898,0.4811,0.479,0.494061757719715,0.5073529411764707,0.4763227803368185,0.5094,0.5559000000000001,0.521484375,0.5051124744376279,0.5038350407144734,0.5389,0.46759999999999996,0.553415061295972,0.5355555555555556,0.0
2322,0.5202,0.3604,0.5217391304347826,0.5056603773584906,0.4685081398452095,0.5211,0.5128712871287129,0.49131274131274133,0.4753629929893345,0.5246000000000001,0.37729999999999997,0.41960784313725497,0.4577540106951871,0.4507419723063179,0.5001,0.48450000000000004,0.5286259541984732,0.505307855626327,0.5343905280426048,0.49520000000000003,0.5003,0.43032786885245905,0.44659090909090904,1.0
2323,0.5086999999999999,0.47100000000000003,0.5420353982300886,0.5356695869837296,0.5739406553527591,0.5178,0.5306122448979592,0.46859903381642515,0.41589363799509643,0.42960000000000004,0.4783,0.44857768052516406,0.4727272727272728,0.46987560573512516,0.5287,0.5461,0.47770700636942676,0.49795918367346936,0.49415294876468774,0.5182,0.48200000000000004,0.5466666666666666,0.513986013986014,1.0
2324,0.478,0.5534,0.46496815286624205,0.49702734839476814,0.5002637789809802,0.5042,0.48039215686274517,0.48265609514370666,0.49414460285132383,0.5399,0.5041,0.5212765957446809,0.4974924774322969,0.44699432802525096,0.4827,0.49200000000000005,0.436046511627907,0.4874476987447699,0.4691252753499609,0.4464,0.5987,0.41965973534971646,0.44793926247288507,0.0
2325,0.46630000000000005,0.4155,0.42787286063569685,0.4663341645885287,0.4844376775100284,0.4936,0.5253549695740365,0.4739776951672863,0.393110251551102,0.5515,0.5064,0.5158371040723981,0.49489795918367346,0.49562633306971504,0.48479999999999995,0.6043999999999999,0.5335820895522388,0.5257032007759458,0.48288511210957,0.4789,0.5676,0.4249084249084249,0.48591549295774655,1.0
2326,0.5081,0.45890000000000003,0.4450549450549451,0.48275862068965514,0.5227190112686296,0.46530000000000005,0.5477031802120141,0.5081127241673783,0.3049545829892651,0.5184000000000001,0.302,0.5831533477321815,0.527892561983471,0.5154748618558946,0.5472,0.6459999999999999,0.5913978494623655,0.52453653217012,0.532687715574423,0.5009,0.4878,0.451219512195122,0.4703947368421053,0.0
2327,0.5138,0.47590000000000005,0.5382585751978892,0.5206812652068127,0.5098990931153404,0.5025999999999999,0.4395161290322581,0.4900473933649289,0.5594137148839644,0.5007,0.3644,0.4606525911708253,0.48717948717948717,0.5221418009183594,0.5013000000000001,0.4549,0.4753086419753087,0.48951048951048953,0.5390955198647507,0.4372,0.5147999999999999,0.526431718061674,0.4794520547945206,1.0
2328,0.47090000000000004,0.4753,0.5717703349282297,0.5227568270481144,0.4410091374058962,0.538,0.5265151515151515,0.4943181818181819,0.4706017257689992,0.5692,0.45270000000000005,0.5673758865248226,0.5005313496280553,0.5164304544149505,0.47759999999999997,0.44299999999999995,0.4277108433734939,0.47167868177136973,0.49672044432689766,0.4991,0.5122,0.5487804878048781,0.5296052631578948,0.0
2329,0.43460000000000004,0.4844,0.4613259668508287,0.5006337135614701,0.48115265587742884,0.5,0.47598253275109176,0.5113168724279835,0.4903017928922351,0.5333,0.6304,0.5517241379310345,0.5138427464008859,0.5342022016955587,0.49770000000000003,0.5509000000000001,0.46820809248554923,0.4994984954864594,0.4425155900127609,0.5145000000000001,0.5331,0.42043795620437957,0.4994697773064687,0.0
2330,0.5168,0.4446,0.5098522167487685,0.530940594059406,0.6050659226434707,0.5023,0.5248962655601659,0.4941860465116279,0.46984283209793004,0.5729,0.6052000000000001,0.45610278372591007,0.470917225950783,0.5352618243243243,0.4827,0.49200000000000005,0.436046511627907,0.4874476987447699,0.4691252753499609,0.4362,0.5227,0.39999999999999997,0.5050391937290033,0.0
2331,0.5278,0.5118,0.5141509433962265,0.4981949458483755,0.506349116767312,0.4989,0.49707602339181284,0.5123574144486692,0.5566180517336269,0.5271,0.6383,0.5,0.505386875612145,0.5032450674974039,0.4827,0.49200000000000005,0.436046511627907,0.4874476987447699,0.4691252753499609,0.5106,0.41850000000000004,0.4201909959072306,0.513655462184874,1.0
2332,0.5025999999999999,0.5949,0.49370277078085645,0.5122950819672131,0.522693474510737,0.5,0.47014925373134336,0.4868292682926829,0.47896383866481224,0.5569,0.4241,0.5621414913957934,0.5154738878143132,0.5285606124337512,0.5234000000000001,0.4267,0.4433198380566802,0.48547717842323646,0.5234623439075468,0.4536,0.5934,0.44758064516129026,0.48240165631469983,1.0
2333,0.5011,0.5153,0.4482758620689655,0.4748387096774193,0.5141750967903085,0.5246000000000001,0.4981412639405204,0.497191011235955,0.5588641103802342,0.5559000000000001,0.6594,0.5595026642984015,0.5259799453053783,0.5011413916523405,0.4949,0.4165,0.47244094488188976,0.4742376445846478,0.48815110550769303,0.4997,0.5478999999999999,0.5804749340369394,0.5214446952595937,0.0
