,Unnamed: 0,summoner_a,summoner_b,position,win_rate,lane_kill_rate,kda,kill_participate,damage
4812,4812,葛雷夫,慨影,1,0.5207,,0.5334728033472804,0.4889336016096579,0.5071549066371939
4813,4813,葛雷夫,拉姆斯,1,0.4939,,0.4981549815498155,0.5058593749999999,0.5876809614859329
4814,4814,葛雷夫,提摩,1,0.4466,,0.5546038543897216,0.5151175811870101,0.4543793953785734
4815,4815,葛雷夫,易大師,1,0.521,,0.5927505330490406,0.5202492211838006,0.5185752096686757
4816,4816,葛雷夫,札克,1,0.4998,,0.4472361809045226,0.4946962391513983,0.6078144001995697
4817,4817,葛雷夫,李星,1,0.5241,,0.4912959381044488,0.4897959183673469,0.5768543342269884
4818,4818,葛雷夫,歐拉夫,1,0.5136000000000001,,0.5441478439425051,0.5206185567010311,0.5416312525576856
4819,4819,葛雷夫,沃維克,1,0.4864,,0.5257731958762887,0.5079207920792079,0.5890976182489097
4820,4820,葛雷夫,波比,1,0.4624,,0.45019157088122597,0.4989795918367347,0.5663774477862753
4821,4821,葛雷夫,泰達米爾,1,0.6038,,0.639344262295082,0.5545851528384279,0.5886311569301259
4822,4822,葛雷夫,潘森,1,0.5802,,0.5589430894308943,0.5075681130171544,0.5700006799483239
4823,4823,葛雷夫,烏迪爾,1,0.514,,0.5494505494505495,0.5286975717439294,0.5815561750968536
4824,4824,葛雷夫,特朗德,1,0.4852,,0.4400684931506849,0.4940119760479042,0.6274181547619048
4825,4825,葛雷夫,科加斯,1,0.5472,,0.5924528301886792,0.5307150050352467,0.5744946419873356
4826,4826,葛雷夫,納瑟斯,1,0.5789,,0.6219512195121951,0.5495495495495495,0.5689721298900537
4827,4827,葛雷夫,艾克,1,0.5117,,0.4903846153846154,0.489,0.5107383741569045
4828,4828,葛雷夫,茂凱,1,0.5614,,0.5489795918367346,0.501008064516129,0.5584134407205334
4829,4829,葛雷夫,菲艾,1,0.5683,,0.5599173553719008,0.5066530194472876,0.5527207972329715
4830,4830,葛雷夫,蒙多醫生,1,0.5173,,0.5386100386100386,0.5100742311770944,0.5493206440414198
4831,4831,葛雷夫,蓋倫,1,0.6071,,0.6058823529411765,0.5585480093676815,0.5803052325581395
4832,4832,葛雷夫,薩科,1,0.4826,,0.4673076923076923,0.49054726368159207,0.5492216550072477
4833,4833,葛雷夫,費德提克,1,0.4892,,0.4858223062381852,0.4939148073022313,0.4972061778001005
4834,4834,葛雷夫,賈克斯,1,0.519,,0.5483193277310925,0.5218818380743983,0.5547390368117032
4835,4835,葛雷夫,賽勒斯,1,0.545,,0.5334685598377282,0.4964824120603015,0.5148913010612887
4836,4836,葛雷夫,賽特,1,0.5549000000000001,,0.545631067961165,0.5179282868525896,0.5816171968158819
4837,4837,葛雷夫,赫克林,1,0.5155,,0.4809160305343511,0.4862475442043222,0.5491524335430846
4838,4838,葛雷夫,趙信,1,0.511,,0.5351812366737739,0.512846865364851,0.5459997363911955
4839,4839,葛雷夫,鏡爪,1,0.5108,,0.5399159663865546,0.4984894259818731,0.5065101320760608
4840,4840,葛雷夫,阿姆姆,1,0.4913,,0.505091649694501,0.5031055900621119,0.5516715264121517
4841,4841,葛雷夫,雷珂煞,1,0.514,,0.5080321285140561,0.5039920159680639,0.5659724600945399
4842,4842,葛雷夫,雷葛爾,1,0.5714,,0.5726681127982647,0.5117466802860061,0.5185300239197291
4843,4843,葛雷夫,魔甘娜,1,0.5167,,0.4942965779467681,0.4804928131416837,0.4998448115322275
4844,4844,葛雷夫,魔鬥凱薩,1,0.5256000000000001,,0.579676674364896,0.5317124735729387,0.5145502255506088
4845,4845,葛雷夫,黛安娜,1,0.5702,,0.603658536585366,0.5075225677031093,0.5058103061986557
4846,4846,葛雷夫,史加納,1,0.5316,,0.5055762081784386,0.5127681307456589,0.6477320601039179
4847,4847,葵恩,伊瑞莉雅,0,0.5065,0.3128,0.4788359788359789,0.5074971164936563,0.5344030916575653
4848,4848,葵恩,伊羅旖,0,0.5495,0.5068,0.5895316804407714,0.5786666666666667,0.5669510298345666
4849,4849,葵恩,克雷德,0,0.5672,0.5235,0.4329411764705883,0.4837261503928171,0.5830972858835042
4850,4850,葵恩,凱爾,0,0.4783,0.6463,0.5404040404040404,0.5459057071960298,0.5838598264678628
4851,4851,葵恩,凱能,0,0.4,0.5574,0.4059633027522936,0.5147232037691402,0.5036155389000316
4852,4852,葵恩,剛普朗克,0,0.5625,0.6689,0.4819277108433734,0.5228915662650602,0.5711549059227964
4853,4853,葵恩,劫,2,0.5294,0.4197,0.4522144522144522,0.5085255767301906,0.4664944980911745
4854,4854,葵恩,勒布朗,2,0.4884000000000001,0.53,0.4384133611691023,0.5163853028798411,0.5534080321093247
4855,4855,葵恩,卡蜜兒,0,0.4444,0.3458,0.4358288770053476,0.5041224970553592,0.5339468706772436
4856,4856,葵恩,厄薩斯,0,0.5067,0.3538,0.4392059553349877,0.5191122071516646,0.5549926676443141
4857,4857,葵恩,墨菲特,0,0.4353,0.3312,0.3568281938325991,0.486842105263158,0.4898529590472718
4858,4858,葵恩,弗力貝爾,0,0.5309,0.3865,0.4591346153846154,0.5005675368898979,0.6133790226460072
4859,4859,葵恩,弗拉迪米爾,0,0.5347999999999999,0.5142,0.4879227053140096,0.5172839506172839,0.544400163498876
4860,4860,葵恩,悟空,0,0.5789,0.36,0.4580335731414868,0.5106888361045131,0.5697198099295429
4861,4861,葵恩,慎,0,0.5,0.5455,0.3436893203883495,0.4760892667375133,0.6173969147750601
4862,4862,葵恩,慨影,0,0.6279,0.6565000000000001,0.6275510204081632,0.5528169014084507,0.6224413566412671
4863,4863,葵恩,提摩,0,0.4553,0.4978,0.5093333333333333,0.5358024691358024,0.4551341555054591
4864,4864,葵恩,杰西,0,0.5102,0.5669,0.4987146529562982,0.5051311288483467,0.5057577153385536
4865,4865,葵恩,汎,0,0.5579999999999999,0.5206000000000001,0.5699208443271768,0.5403508771929825,0.538951041773581
4866,4866,葵恩,波比,0,0.6049,0.4324,0.4528301886792453,0.4907749077490775,0.5657762786033367
4867,4867,葵恩,泰達米爾,0,0.6988,0.562,0.5864864864864865,0.5608194622279129,0.6491982488407637
4868,4868,葵恩,潘森,0,0.56,0.4706,0.4873737373737374,0.5258918296892979,0.5310556430881499
4869,4869,葵恩,烏爾加特,0,0.4737,0.3908,0.41777777777777775,0.4982973893303065,0.5391120507399577
4870,4870,葵恩,犽宿,0,0.5455,0.4569,0.589041095890411,0.5469336670838548,0.5384451940187511
4871,4871,葵恩,犽宿,2,0.5067,0.394,0.541025641025641,0.531986531986532,0.5461376947729031
4872,4872,葵恩,約瑞科,0,0.4776,0.5161,0.5604113110539846,0.5968379446640315,0.5757985085127341
4873,4873,葵恩,納瑟斯,0,0.43,0.3906,0.4342105263157895,0.5207792207792208,0.5697192337969037
4874,4874,葵恩,茂凱,0,0.4745,0.3781000000000001,0.37339055793991416,0.4823943661971831,0.5489299226382066
4875,4875,葵恩,菲歐拉,0,0.5441,0.4602000000000001,0.5206611570247934,0.5435582822085889,0.5715008656279131
4876,4876,葵恩,蒙多醫生,0,0.5294,0.6182,0.4730392156862745,0.5379746835443038,0.58145106091718
4877,4877,葵恩,蓋倫,0,0.5249,0.5511,0.4665071770334929,0.5525291828793775,0.6306382738044739
4878,4878,葵恩,賈克斯,0,0.5028,0.5305,0.4942857142857143,0.5518134715025906,0.5792560716812073
4879,4879,葵恩,賽勒斯,0,0.5817,0.4924,0.5274725274725275,0.5071599045346062,0.5643119861531805
4880,4880,葵恩,賽勒斯,2,0.6061,0.6217,0.559652928416486,0.532064128256513,0.5870744943265911
4881,4881,葵恩,賽特,0,0.5567000000000001,0.4496,0.5091863517060368,0.5314426633785451,0.5872914171100649
4882,4882,葵恩,路西恩,0,0.487,0.4269,0.5053475935828876,0.5274463007159904,0.498020194020986
4883,4883,葵恩,辛吉德,0,0.5,0.5702,0.4895833333333333,0.5159763313609468,0.5795002699916548
4884,4884,葵恩,逆命,2,0.6,0.6970000000000001,0.4989648033126294,0.518407960199005,0.5887133069960494
4885,4885,葵恩,達瑞斯,0,0.5047,0.4183,0.4755434782608696,0.53125,0.6105703602587691
4886,4886,葵恩,鄂爾,0,0.4246,0.31010000000000004,0.3621052631578947,0.4922526817640047,0.5784462495164986
4887,4887,葵恩,阿卡莉,0,0.6,0.3356,0.454320987654321,0.5134818288393904,0.5543197365087408
4888,4888,葵恩,阿璃,2,0.4561,0.4445,0.3936842105263158,0.4895397489539749,0.5093710849411175
4889,4889,葵恩,雷尼克頓,0,0.5424,0.4916,0.482573726541555,0.5261780104712042,0.6265627342227552
4890,4890,葵恩,雷玟,0,0.5422,0.4823,0.4897959183673469,0.5430932703659976,0.6173156043169757
4891,4891,葵恩,雷茲,0,0.6545000000000001,0.6071,0.5566265060240964,0.5326215895610913,0.5413911060433295
4892,4892,葵恩,雷葛爾,0,0.5062,0.4594,0.4932249322493225,0.5408284023668639,0.5576087226485855
4893,4893,葵恩,魔鬥凱薩,0,0.5143,0.3588,0.4816753926701571,0.5265888456549935,0.5496368671299441
4894,4894,蒙多醫生,伊瑞莉雅,0,0.5093,0.3403,0.4644670050761421,0.4604938271604938,0.4641027661754276
4895,4895,蒙多醫生,伊羅旖,0,0.4819,0.4312,0.5912596401028277,0.5193452380952381,0.4346821635268059
4896,4896,蒙多醫生,伊芙琳,1,0.4757,,0.44247787610619466,0.4883268482490272,0.4452996151731721
4897,4897,蒙多醫生,伊莉絲,1,0.5447,,0.500990099009901,0.4868951612903226,0.5057824763735383
4898,4898,蒙多醫生,克雷德,0,0.4516,0.3043,0.3991031390134529,0.4332953249714937,0.495038262157492
4899,4899,蒙多醫生,凱爾,0,0.6275000000000001,0.7173999999999999,0.6680080482897385,0.5179063360881543,0.4440258342303552
4900,4900,蒙多醫生,剛普朗克,0,0.5,0.5606,0.5147058823529412,0.4824902723735409,0.4750520593882684
4901,4901,蒙多醫生,努努和威朗普,1,0.6364,,0.5736137667304014,0.4873949579831933,0.6068482490272373
4902,4902,蒙多醫生,卡蜜兒,0,0.5385,0.4815,0.4780701754385965,0.4405182567726737,0.4751275510204082
4903,4903,蒙多醫生,厄薩斯,0,0.4892,0.3681,0.4549763033175356,0.4875346260387812,0.5028716078281935
4904,4904,蒙多醫生,嘉文四世,1,0.5165,,0.4111498257839721,0.4496268656716418,0.5766844324238326
4905,4905,蒙多醫生,墨菲特,0,0.5463,0.5112,0.4465811965811966,0.4705144291091593,0.5208108631322769
4906,4906,蒙多醫生,夜曲,1,0.5357000000000001,,0.5174216027874564,0.4955489614243324,0.5173573538443541
4907,4907,蒙多醫生,奈德麗,1,0.544,,0.444672131147541,0.4642126789366053,0.4811535793333554
4908,4908,蒙多醫生,希瓦娜,1,0.4877,,0.4716981132075472,0.4978586723768737,0.4414164966482075
4909,4909,蒙多醫生,弗力貝爾,0,0.4098,0.18420000000000006,0.37844036697247707,0.4421930870083433,0.4845970612638171
4910,4910,蒙多醫生,弗拉迪米爾,0,0.493,0.5919,0.5278969957081545,0.5013404825737265,0.4919468583648028
4911,4911,蒙多醫生,悟空,0,0.4098,0.3609000000000001,0.4508393285371702,0.4964454976303317,0.5201947937846726
4912,4912,蒙多醫生,悟空,1,0.3846,,0.4043715846994536,0.4970986460348162,0.5255960143110309
4913,4913,蒙多醫生,慎,0,0.5063000000000001,0.5294,0.39889705882352944,0.4417249417249417,0.5561542294755201
4914,4914,蒙多醫生,慨影,0,0.5224,0.593,0.5694760820045558,0.5,0.5340308090256126
4915,4915,蒙多醫生,慨影,1,0.4859000000000001,,0.4852941176470589,0.4865134865134866,0.4747976402798738
4916,4916,蒙多醫生,拉姆斯,1,0.6970000000000001,,0.5352564102564102,0.4955577492596249,0.5643273042616452
4917,4917,蒙多醫生,提摩,0,0.5486,0.4779,0.591743119266055,0.5142857142857142,0.4177583025830258
4918,4918,蒙多醫生,易大師,1,0.4832,,0.5367346938775509,0.5051546391752577,0.4466362305108106
4919,4919,蒙多醫生,札克,1,0.5,,0.40717628705148207,0.474609375,0.5633158057531704
4920,4920,蒙多醫生,李星,1,0.499,,0.4364326375711575,0.4695912263210368,0.5274265803882529
4921,4921,蒙多醫生,杰西,0,0.5465,0.3333,0.4579439252336449,0.4520725388601037,0.4038886669330137
4922,4922,蒙多醫生,歐拉夫,1,0.4699,,0.465587044534413,0.4839055793991416,0.4865047856461392
4923,4923,蒙多醫生,汎,0,0.3913,0.3782,0.5401069518716577,0.4930555555555556,0.3667236223835968
4924,4924,蒙多醫生,沃維克,1,0.4684,,0.5149700598802396,0.4882352941176471,0.5496563465540072
4925,4925,蒙多醫生,特朗德,1,0.5650000000000001,,0.4142114384748701,0.4599406528189911,0.5726629734155604
4926,4926,蒙多醫生,犽宿,0,0.52,0.5143,0.5589519650655022,0.4723247232472325,0.4606897234179407
4927,4927,蒙多醫生,納瑟斯,0,0.4556,0.4609,0.5011820330969267,0.5153203342618384,0.5394870582673443
4928,4928,蒙多醫生,艾克,1,0.5566,,0.4833333333333333,0.4773413897280967,0.4806615017878426
4929,4929,蒙多醫生,茂凱,0,0.4739,0.6208,0.4593495934959349,0.4944099378881987,0.565048774684749
4930,4930,蒙多醫生,菲歐拉,0,0.4691,0.4891,0.5524296675191817,0.5166889185580774,0.4834467241656399
4931,4931,蒙多醫生,葛雷夫,1,0.4827,,0.4613899613899614,0.4899257688229056,0.4506793559585802
4932,4932,蒙多醫生,葵恩,0,0.4706,0.3818,0.5269607843137255,0.4620253164556962,0.41854893908282004
4933,4933,蒙多醫生,蓋倫,0,0.4906,0.3563,0.4696629213483146,0.4867132867132867,0.5082778854717871
4934,4934,蒙多醫生,薩科,1,0.5143,,0.4361904761904762,0.4960238568588469,0.5199520054850875
4935,4935,蒙多醫生,費德提克,1,0.5893,,0.5716814159292035,0.4966118102613746,0.4992466785371867
4936,4936,蒙多醫生,賈克斯,0,0.4841,0.4426,0.5404040404040404,0.5213454075032341,0.487801189636052
4937,4937,蒙多醫生,賽勒斯,0,0.5575,0.5072,0.4964705882352941,0.4725,0.5234094450843553
4938,4938,蒙多醫生,賽勒斯,1,0.6023,,0.5711775043936732,0.4896755162241888,0.5163817464536526
4939,4939,蒙多醫生,賽特,0,0.5,0.4565,0.5145631067961165,0.5087064676616915,0.4823120813693873
4940,4940,蒙多醫生,趙信,1,0.55,,0.4906832298136646,0.4963805584281282,0.5146716976046896
4941,4941,蒙多醫生,達瑞斯,0,0.453,0.3441,0.4761904761904762,0.4869109947643979,0.4937061438748728
4942,4942,蒙多醫生,鄂爾,0,0.5274,0.4635,0.4472573839662447,0.4705882352941176,0.5359673895667928
4943,4943,蒙多醫生,鏡爪,1,0.6,,0.4936974789915967,0.46720484359233094,0.44005247048535207
4944,4944,蒙多醫生,阿卡莉,0,0.5729,0.2857,0.4736842105263158,0.4752223634053368,0.4793158013714113
4945,4945,蒙多醫生,阿姆姆,1,0.6265,,0.5987903225806452,0.5057955742887249,0.5565715800284928
4946,4946,蒙多醫生,雷尼克頓,0,0.5197,0.3851,0.5035971223021583,0.4899328859060403,0.5214117392128714
4947,4947,蒙多醫生,雷珂煞,1,0.5476,,0.4588014981273409,0.475266731328807,0.5054212117229596
4948,4948,蒙多醫生,雷葛爾,0,0.4333,0.4634,0.4929906542056075,0.4943253467843631,0.5138259347195242
4949,4949,蒙多醫生,魔鬥凱薩,0,0.5417000000000001,0.4306,0.5526315789473685,0.5,0.4841762935637317
4950,4950,蓋倫,伊瑞莉雅,0,0.5785,0.4958,0.6009732360097324,0.5063938618925832,0.5138206300957359
4951,4951,蓋倫,伊瑞莉雅,2,0.5527000000000001,0.547,0.59070796460177,0.5217877094972068,0.5318452697669469
4952,4952,蓋倫,伊羅旖,0,0.5422,0.5761999999999999,0.6542288557213931,0.5526717557251909,0.4622999589659417
4953,4953,蓋倫,克雷德,0,0.5799000000000001,0.4684,0.5,0.4608076009501188,0.522408886943198
4954,4954,蓋倫,克黎思妲,0,0.5146000000000001,0.5702,0.6937799043062202,0.5365205843293492,0.438595417979384
4955,4955,蓋倫,凱爾,0,0.4758,0.5359,0.5035294117647059,0.4759887005649717,0.4218575505645862
4956,4956,蓋倫,凱能,0,0.52,0.5579999999999999,0.511727078891258,0.4929178470254957,0.4152375434530707
4957,4957,蓋倫,剛普朗克,0,0.5089,0.6204,0.4950099800399202,0.4685494223363286,0.4292731911197959
4958,4958,蓋倫,加里歐,2,0.5669,0.8228,0.5277777777777778,0.4751847940865892,0.5359958714412684
4959,4959,蓋倫,劫,2,0.5904,0.5519,0.5487804878048781,0.4809417040358745,0.459358630382011
4960,4960,蓋倫,勒布朗,2,0.5,0.5288,0.421146953405018,0.4574347332576618,0.4550095000425375
4961,4961,蓋倫,卡特蓮娜,2,0.4861,0.5091,0.468,0.4452631578947368,0.4606670027327479
4962,4962,蓋倫,卡瑪,0,0.5647,0.4237,0.45009784735812136,0.4506493506493507,0.4548636291975406
4963,4963,蓋倫,卡莎碧雅,0,0.4388,0.6494,0.5977777777777777,0.5073431241655539,0.4565498969679129
4964,4964,蓋倫,卡莎碧雅,2,0.5,0.5115999999999999,0.5175097276264591,0.4916387959866221,0.43841128965574266
4965,4965,蓋倫,卡薩丁,2,0.5941,0.77,0.5282258064516129,0.4915254237288136,0.4956496365854953
4966,4966,蓋倫,卡蜜兒,0,0.5276,0.5590999999999999,0.5095693779904307,0.4764397905759162,0.468029213937242
4967,4967,蓋倫,厄薩斯,0,0.5006,0.4743,0.4976525821596245,0.4965986394557823,0.4855666379573806
4968,4968,蓋倫,吶兒,0,0.4913,0.4467,0.4832535885167464,0.4740437158469946,0.4314609889340244
4969,4969,蓋倫,塔隆,2,0.486,0.5359,0.48828125,0.47027600849256895,0.4888522760490022
4970,4970,蓋倫,墨菲特,0,0.5217,0.6114,0.5070993914807302,0.4852752880921895,0.4906776888994618
4971,4971,蓋倫,夜曲,2,0.4737,0.614,0.4762931034482758,0.4821621621621622,0.4823125731870047
4972,4972,蓋倫,妮可,0,0.3793,0.35710000000000003,0.4748201438848921,0.4932249322493225,0.3887660740417847
4973,4973,蓋倫,姬亞娜,2,0.5556,0.8293,0.5595959595959595,0.492942453854506,0.502282480933767
4974,4974,蓋倫,希瓦娜,0,0.6122,0.4483,0.5565610859728507,0.5122615803814714,0.4836735236980068
