,summoner_a,summoner_b,position,win_rate,lane_kill_rate,kda,kill_participate,damage
2402,慎,珍娜,4,0.52,0.6939,0.49298245614035086,0.48819742489270385,
2403,慎,瑟雷西,4,0.504,0.48979999999999996,0.49721706864564,0.5077081192189106,
2404,慎,科加斯,0,0.6275000000000001,0.3282,0.618042226487524,0.5260115606936416,0.46854820752616344
2405,慎,約瑞科,0,0.4646,0.55,0.6846011131725418,0.5849802371541502,0.4341476446317789
2406,慎,納帝魯斯,4,0.5464,0.4144,0.5387523629489603,0.53125,
2407,慎,納瑟斯,0,0.44689999999999996,0.48869999999999997,0.5540540540540541,0.559953434225844,0.5012822402358142
2408,慎,索拉卡,4,0.4559,0.6308,0.44547134935304994,0.5876010781671159,
2409,慎,茂凱,0,0.48950000000000005,0.502,0.5348837209302326,0.5292207792207791,0.5129504199403956
2410,慎,菲歐拉,0,0.5046,0.40990000000000004,0.6395833333333333,0.5516014234875445,0.4464701318851823
2411,慎,葛雷夫,1,0.4651,,0.49642857142857144,0.5031712473572939,0.3776639861526811
2412,慎,葵恩,0,0.5333,0.45159999999999995,0.665362035225049,0.5202558635394456,0.3876261127596439
2413,慎,蒙多醫生,0,0.4865,0.46869999999999995,0.5981818181818181,0.5547785547785548,0.4386319785896558
2414,慎,蓋倫,0,0.52,0.3236,0.5730337078651686,0.539015606242497,0.46537396121883656
