,summoner_a,summoner_b,position,win_rate,lane_kill_rate,kda,kill_participate,damage
47,伊澤瑞爾,法洛士,3,0.5085000000000001,0.41759999999999997,0.4826923076923077,0.477533960292581,0.49410063355063816
48,伊澤瑞爾,漢默丁格,3,0.49560000000000004,0.5203,0.5615384615384617,0.5094339622641509,0.4917248075142812
49,伊澤瑞爾,潘森,3,0.5,0.4672,0.46331236897274636,0.4953183520599251,0.5697546247483946
50,伊澤瑞爾,燼,3,0.49820000000000003,0.4265,0.46017699115044247,0.4808080808080808,0.535329534706683
51,伊澤瑞爾,犽宿,3,0.4786,0.42469999999999997,0.5313131313131314,0.4979674796747967,0.5416052559266569
52,伊澤瑞爾,維克特,3,0.6269,0.563,0.6524064171122994,0.535752401280683,0.5254848196714061
53,伊澤瑞爾,維迦,3,0.4767,0.4304,0.4727626459143969,0.4693446088794926,0.534513433776997
54,伊澤瑞爾,艾希,3,0.4974,0.4719,0.5076045627376425,0.49094567404426553,0.5567406346933906
55,伊澤瑞爾,茂凱,3,0.45420000000000005,0.46049999999999996,0.4824399260628465,0.5045408678102926,0.6419571109314821
56,伊澤瑞爾,貪啃奇,3,0.4526,0.3826,0.5228519195612431,0.540650406504065,0.7394681482280597
57,伊澤瑞爾,賽特,3,0.5,0.3947,0.49905838041431255,0.5,0.6411489032756789
58,伊澤瑞爾,路西恩,3,0.5307000000000001,0.4446,0.5188679245283019,0.5010309278350515,0.5514464937739912
59,伊澤瑞爾,逆命,3,0.5122,0.5118,0.5228628230616302,0.5245559038662487,0.573083565192363
60,伊澤瑞爾,達瑞文,3,0.5153,0.5044,0.5687022900763359,0.5116044399596368,0.529928351638479
61,伊澤瑞爾,鏡爪,3,0.48950000000000005,0.4789,0.5333333333333334,0.498995983935743,0.5162466463344723
62,伊澤瑞爾,齊勒斯,3,0.49060000000000004,0.3039,0.3949275362318841,0.47731958762886595,0.46419948291703167
63,伊瑞莉雅,伊澤瑞爾,3,0.43210000000000004,0.5633,0.4339622641509434,0.49110671936758893,0.41309625500157354
64,伊瑞莉雅,凱莎,3,0.3676,0.5301,0.4083333333333333,0.5014866204162537,0.45605047318611985
