,result,top_win_rate,top_lane_kill_rate,top_kda,top_kill_participate,top_damage,jg_win_rate,jg_kda,jg_kill_participate,jg_damage,mid_win_rate,mid_lane_kill_rate,mid_kda,mid_kill_participate,mid_damage,adc_win_rate,adc_lane_kill_rate,adc_kda,adc_kill_participate,adc_damage,sup_win_rate,sup_lane_kill_rate,sup_kda,sup_kill_participate
1882,1,0.47759999999999997,0.3461,0.46916299559471364,0.47122302158273377,0.48271615797343653,0.5315,0.6006944444444444,0.5238095238095237,0.41104847801578354,0.46549999999999997,0.48840000000000006,0.5009416195856874,0.5090909090909091,0.5317736326272526,0.5073,0.5047999999999999,0.5541922290388548,0.5195979899497488,0.5595433148682739,0.4975,0.4806,0.55,0.5005727376861397
1883,1,0.5132,0.49689999999999995,0.5762273901808785,0.5294924554183813,0.5148639944507754,0.5019,0.47268907563025214,0.49015748031496065,0.5355334149812983,0.489,0.6681999999999999,0.5087378640776699,0.5109780439121757,0.525317127541001,0.5,0.5,0.5,0.5,0.5,0.5078,0.4598,0.48026315789473684,0.5544768069039914
1884,0,0.5,0.3636,0.6313559322033898,0.563249001331558,0.49401463848416444,0.5036,0.49048625792811834,0.5031249999999999,0.5034039334341907,0.48869999999999997,0.3774,0.4702602230483271,0.46977730646871685,0.37919445185382766,0.5319,0.5700999999999999,0.5849802371541502,0.5355303810504635,0.5133922749915238,0.49700000000000005,0.5486,0.5043478260869565,0.5255391600454029
1885,1,0.4722,0.5255,0.4765258215962441,0.5183312262958281,0.5455934919265376,0.4974,0.48343079922027293,0.5018939393939394,0.5597818535500904,0.4747,0.3862,0.540983606557377,0.5047821466524973,0.45676719655326103,0.4951,0.48009999999999997,0.5247148288973383,0.503711558854719,0.5321378008494573,0.48490000000000005,0.6557,0.4756554307116105,0.4771689497716895
1886,1,0.5299,0.4275,0.5248868778280543,0.5244667503136763,0.5417059377945335,0.5315,0.6006944444444444,0.5238095238095237,0.41104847801578354,0.46909999999999996,0.3493,0.4875,0.4903553299492385,0.495796632286883,0.537,0.5097,0.5559999999999999,0.5198412698412699,0.5446404560856236,0.4989,0.4587,0.4952198852772466,0.5077951002227171
1887,1,0.5353,0.5268999999999999,0.5209876543209876,0.5151515151515151,0.5659976669757425,0.5209,0.5355086372360844,0.5132325141776938,0.4889022596603824,0.5375,0.6805,0.5359342915811088,0.5143464399574921,0.49358648070854116,0.4872,0.4833,0.5270541082164328,0.5114345114345115,0.5532647680577658,0.5214,0.5366,0.4969939879759519,0.4834070796460177
1888,0,0.5,0.5,0.5,0.5,0.5,0.48810000000000003,0.45733788395904434,0.4697754749568221,0.5398226472150709,0.531,0.5484,0.5224215246636772,0.4985014985014985,0.49916140489344907,0.5,0.5,0.5,0.5,0.5,0.48380000000000006,0.2969,0.4798464491362764,0.4325452016689847
1889,0,0.5191,0.5547,0.5664488017429194,0.5129411764705882,0.46993632948823827,0.456,0.47400000000000003,0.46011131725417437,0.35028233539313874,0.5,0.5,0.5,0.5,0.5,0.499,0.5068,0.4523326572008114,0.4829424307036247,0.42561616713320133,0.5412,0.41609999999999997,0.6111111111111112,0.5469083155650319
1890,0,0.4364,0.4929,0.46458923512747874,0.49936467598475226,0.46561960276338515,0.4941,0.4883303411131059,0.48850574712643674,0.6233878496594171,0.5029,0.513,0.4308300395256917,0.4843907351460221,0.474512161519,0.5023,0.46630000000000005,0.4801587301587301,0.49074074074074076,0.4633834836138854,0.499,0.4606,0.5557851239669421,0.41168289290681503
1891,1,0.4933,0.42460000000000003,0.553030303030303,0.4928104575163399,0.4842127129206481,0.47520000000000007,0.5067698259187621,0.5092502434274586,0.4236635976363886,0.5051,0.5844,0.5560081466395111,0.5276008492569002,0.49092126804584013,0.49600000000000005,0.442,0.43999999999999995,0.46267087276551,0.4349460440853066,0.5275,0.49770000000000003,0.6066536203522506,0.5064177362893816
